gen	nevals	avg    	std    	min    	max    
0  	50    	199763 	88876.4	85258.3	398399 
1  	42    	118242 	34955.1	80385.5	233465 
2  	41    	97379.4	13998.6	80163.1	146843 
3  	43    	92522.5	7095.8 	80632.5	117512 
4  	45    	90193  	6474.13	80571.8	108994 
5  	47    	86010.6	5994.09	75534.3	100244 
6  	45    	86808.5	6477.54	77143.1	110286 
7  	38    	121896 	179316 	77143.1	1e+06  
8  	40    	84758.9	4692.47	76644  	95180.6
9  	47    	86692  	6625.18	73093.4	108995 
10 	46    	83592.9	5564.52	73021.9	99832.9
11 	45    	83577.3	4750.94	73021.9	99665.8
12 	46    	102933 	128255 	73021.9	1e+06  
13 	40    	83008.2	4769.17	76263.4	96928.2
14 	47    	83555.8	4974.28	74718.5	97589.2
15 	42    	100398 	128592 	73387.1	1e+06  
16 	42    	81584.7	3852.89	73492  	90674.7
17 	43    	81726.4	4408.92	72454.5	94116.8
18 	38    	82156.5	4574.85	72454.5	92933.3
19 	40    	81006.9	3860.03	73924.1	91306.9
20 	43    	82351.5	4552.02	73924.1	96298.2
